InstitutionID,Symbol,ShortName,EndDate,TotalShare,UnCriculationShares,CirculatingShares,LmtdStateOwnedShares,LmtdStateOwnedSharesRatio,EquityStructureDiversity,MixedEquityStructureOrNOT,NSttOwnedShrhlderRatioSum,OwnershipConcentration,NSttOwnedShrhlderPartic,EquityBalance,EquityIntegration,EquityStrucHerfindalIndex,EquityStrucEntropyIndex,Score_NonStateCapital,Score_EquityDiversity,Score_EquityBalance,Score_EquityIntegration,Score_OpenGovernance,MixedOwnershipScore,MixedOwnershipLevel,ReformStatus
105740,600111,北方稀土,2025-12-31,3615065842.0,,3615065842.0,,,4.0,1,11.25,49.28,0.2283,29.5819,29.5819,0.6181,0.7442,16.45,15.31,10.83,8.08,10.27,60.95,深度混改,正在进行混改
10147854,688663,新风光,2025-12-31,141382530.0,,141382530.0,,,4.0,1,12.07,55.93,0.2158,31.8806,27.5194,0.6342,0.7337,16.71,15.22,10.39,7.85,10.76,60.94,深度混改,正在进行混改
10147199,300675,建科院,2025-12-31,146666700.0,,146666700.0,,,5.0,1,10.84,53.7,0.2019,25.2916,25.2916,0.6545,0.7036,16.09,16.98,9.81,7.57,10.39,60.84,深度混改,正在进行混改
107588,600462,*ST 九有,2024-12-31,617080000.0,16615000.0,600465000.0,,,2.0,1,21.57,21.57,1.0,190.7162,,0.636,0.5502,24.24,6.65,17.09,7.5,5.12,60.61,深度混改,正在进行混改
103097,200706,瓦轴B,2024-12-31,402600000.0,244000000.0,158600000.0,244000000.0,60.6061,3.0,1,25.77,86.38,0.2983,42.5177,42.5177,0.565,0.708,23.18,12.02,9.17,9.2,6.86,60.42,深度混改,正在进行混改
102806,601880,辽港股份,2025-12-31,23571767213.0,,23571767213.0,,,3.0,1,22.96,80.79,0.2842,78.2549,39.7026,0.5888,0.633,21.87,11.35,10.91,8.99,7.05,60.16,深度混改,正在进行混改
104154,601666,平煤股份,2024-12-31,2475146538.0,5797800.0,2469348738.0,,,3.0,1,17.02,62.74,0.2713,38.2988,37.2266,0.5922,0.6684,19.23,11.66,10.61,8.83,9.79,60.11,深度混改,正在进行混改
10312280,001337,四川黄金,2025-12-31,420000000.0,131544000.0,288456000.0,131544000.0,31.32,4.0,1,14.86,66.15,0.2246,47.4457,28.9725,0.6359,0.6666,17.97,14.64,10.51,8.01,8.93,60.07,深度混改,正在进行混改
10204339,002935,天奥电子,2024-12-31,426652824.0,11561941.0,415090883.0,,,4.0,1,11.41,53.24,0.2143,28.3549,27.2771,0.6383,0.7121,16.42,15.04,10.27,7.82,10.5,60.05,深度混改,正在进行混改
102082,002580,圣阳股份,2024-12-31,453868993.0,1530193.0,452338800.0,,,3.0,1,10.85,33.93,0.3198,47.0104,47.0104,0.5521,0.7055,16.93,12.0,13.14,9.54,8.43,60.04,深度混改,正在进行混改
103400,601939,建设银行,2025-12-31,261600381459.0,11589403973.0,250010977486.0,11589403973.0,4.4302,2.0,1,33.43,97.38,0.3433,61.2159,52.2752,0.5491,0.6432,26.78,7.43,9.84,9.84,6.11,60.01,深度混改,正在进行混改
107720,300330,*ST 计通,2022-12-31,169918545.0,1963966.0,167954579.0,,,3.0,1,11.75,38.39,0.3061,46.406,44.1066,0.5673,0.6714,17.22,11.68,13.0,9.32,8.74,59.97,中度混改,正在进行混改
102298,000400,许继电气,2025-12-31,1018622249.0,6920990.0,1011701259.0,,,4.0,1,10.85,49.66,0.2185,28.6129,27.9567,0.6324,0.721,16.21,15.12,10.62,7.89,10.08,59.92,中度混改,正在进行混改
105768,600298,安琪酵母,2025-12-31,867978471.0,10828000.0,857150471.0,,,4.0,1,11.03,50.02,0.2205,28.9501,28.2893,0.6324,0.7056,16.3,15.0,10.63,7.93,10.06,59.91,中度混改,正在进行混改
101455,000788,北大医药,2024-12-31,595987425.0,,595987425.0,,,2.0,1,37.89,37.89,1.0,170.5221,,0.8939,0.2164,30.0,3.81,15.06,7.5,3.53,59.9,中度混改,正在进行混改
102484,002307,北新路桥,2025-12-31,1648779056.0,380487474.0,1268291582.0,72997541.0,4.4274,4.0,1,10.7,48.59,0.2202,29.0445,28.2396,0.6312,0.7155,16.16,15.07,10.76,7.92,9.91,59.81,中度混改,正在进行混改
104889,600053,九鼎投资,2024-12-31,433540800.0,0.0,433540800.0,,,3.0,1,75.25,75.25,1.0,252.5168,,0.9551,0.1217,30.0,7.23,12.75,7.5,2.25,59.74,中度混改,正在进行混改
105786,600406,国电南瑞,2024-12-31,8032824078.0,48339364.0,7984484714.0,,,4.0,1,19.3,80.93,0.2385,37.4903,31.3159,0.6137,0.7244,19.98,15.15,8.96,8.28,7.32,59.68,中度混改,正在进行混改
10186204,001328,登康口腔,2024-12-31,172173800.0,129130300.0,43043500.0,106000000.0,61.5657,5.0,1,18.07,79.59,0.227,30.2022,29.3726,0.6343,0.6714,19.37,16.68,8.35,8.04,7.04,59.48,中度混改,正在进行混改
101,600859,王府井,2024-12-31,1135049451.0,103360.0,1134946091.0,103360.0,0.0091,4.0,1,10.05,46.55,0.2159,30.6029,27.5342,0.6351,0.7173,15.85,15.09,11.02,7.85,9.6,59.4,中度混改,正在进行混改
